order,p,d,q,aic,bic
"(5, 2, 6)",5,2,6,3690.90705130208,3747.962300495936
"(5, 2, 7)",5,2,7,3693.076553605345,3754.8864068986886
"(6, 0, 0)",6,0,0,3701.9837911525165,3740.0392502664968
"(6, 0, 1)",6,0,1,3696.418639705448,3739.231031208676
"(6, 0, 2)",6,0,2,3692.878965661309,3740.4482895537844
"(6, 0, 3)",6,0,3,3701.509353908962,3753.835610190685
"(6, 0, 4)",6,0,4,3698.0397596106827,3755.1229482816534
"(6, 0, 5)",6,0,5,3680.701239943086,3742.5413610033042
"(6, 0, 6)",6,0,6,3690.1335453963006,3756.7305988457665
"(6, 0, 7)",6,0,7,3693.837252358753,3765.1912381974666
"(6, 1, 0)",6,1,0,3684.618996538562,3717.909378992452
"(6, 1, 1)",6,1,1,3686.2606827781183,3724.3068341539924
"(6, 1, 2)",6,1,2,3684.4084541006223,3727.210374398481
"(6, 1, 3)",6,1,3,3679.194265498025,3726.751954717867
"(6, 1, 4)",6,1,4,3678.3566558182506,3730.6701139600773
"(6, 1, 5)",6,1,5,3676.4487217945016,3733.5179488583126
"(6, 1, 6)",6,1,6,3669.9772311233746,3731.80222710917
"(6, 1, 7)",6,1,7,3668.4576986487755,3735.038463556555
"(6, 2, 0)",6,2,0,3837.552364189086,3870.8345928855015
"(6, 2, 1)",6,2,1,3690.1373376232054,3728.174170419109
"(6, 2, 2)",6,2,2,3694.877867434083,3737.6693043294745
"(6, 2, 3)",6,2,3,3690.3209443059145,3737.866985300794
"(6, 2, 4)",6,2,4,3689.4250555530107,3741.7257006473783
"(6, 2, 5)",6,2,5,3688.6207009194386,3745.675950113294
"(6, 2, 6)",6,2,6,3692.4776891995307,3754.2875424928743
"(6, 2, 7)",6,2,7,3692.457693750647,3759.022151143479
"(7, 0, 0)",7,0,0,3694.593540193151,3737.405931696379
"(7, 0, 1)",7,0,1,3696.4493620255525,3744.018685918028
"(7, 0, 2)",7,0,2,3695.0492338938843,3747.3754901756074
"(7, 0, 3)",7,0,3,3696.739383755379,3753.82257242635
"(7, 0, 4)",7,0,4,3690.0203477170003,3751.8604687772186
"(7, 0, 5)",7,0,5,3689.9846226073996,3756.5816760568655
"(7, 0, 6)",7,0,6,3678.0974891225737,3749.451474961287
"(7, 0, 7)",7,0,7,3678.6912422514624,3754.8021604794235
"(7, 1, 0)",7,1,0,3686.500539713529,3724.5466910894033
"(7, 1, 1)",7,1,1,3687.646199866352,3730.4481201642106
"(7, 1, 2)",7,1,2,3686.0059097490252,3733.5635989688676
"(7, 1, 3)",7,1,3,3679.5921852276865,3731.905643369513
"(7, 1, 4)",7,1,4,3682.3018868013487,3739.3711138651597
"(7, 1, 5)",7,1,5,3678.2465531129424,3740.0715490987377
"(7, 1, 6)",7,1,6,3670.092560617054,3736.6733255248337
"(7, 1, 7)",7,1,7,3669.9260997220335,3741.2626335517975
"(7, 2, 0)",7,2,0,3821.31059260045,3859.3474253963536
"(7, 2, 1)",7,2,1,3692.0163819775294,3734.807818872921
"(7, 2, 2)",7,2,2,3691.042349185624,3738.5883901805037
"(7, 2, 3)",7,2,3,3691.752042211052,3744.0526873054196
"(7, 2, 4)",7,2,4,3691.4409659983776,3748.496215192233
"(7, 2, 5)",7,2,5,3690.197867352152,3752.0077206454957
"(7, 2, 6)",7,2,6,3694.291587285611,3760.8560446784427
"(7, 2, 7)",7,2,7,3699.00989780229,3770.32895929461
