seq_length,lstm_units,n_layers,dropout_rate,learning_rate,batch_size,val_loss,val_mae,epochs_trained
15,128,1,0.3,0.001,16,0.03494665026664734,0.15440720319747925,14
20,128,2,0.2,0.0005,32,0.035282012075185776,0.1546155959367752,15
20,128,2,0.1,0.001,32,0.03533032536506653,0.1566544473171234,12
15,128,2,0.1,0.0005,32,0.0353674590587616,0.15374338626861572,18
15,128,2,0.1,0.0005,16,0.035672377794981,0.15223254263401031,18
15,64,2,0.1,0.001,32,0.03598838672041893,0.16071727871894836,12
15,32,1,0.3,0.0005,32,0.0359935536980629,0.14864149689674377,44
10,128,2,0.1,0.001,16,0.03603772819042206,0.15463851392269135,17
20,128,2,0.2,0.001,32,0.03611864149570465,0.15890192985534668,12
15,32,2,0.1,0.001,16,0.03720298409461975,0.1538831889629364,13
20,128,1,0.1,0.0005,32,0.03770995885133743,0.15909704566001892,32
20,128,1,0.2,0.001,16,0.03791695088148117,0.15967833995819092,17
10,64,2,0.2,0.0005,32,0.03810796141624451,0.16192889213562012,23
10,64,2,0.1,0.0005,32,0.038121044635772705,0.15793955326080322,20
10,64,1,0.2,0.0005,32,0.038178153336048126,0.16112591326236725,38
20,32,1,0.3,0.0005,32,0.038478657603263855,0.15941761434078217,21
20,128,1,0.1,0.001,16,0.039846111088991165,0.16405999660491943,16
15,64,2,0.3,0.001,16,0.04080932214856148,0.16573013365268707,16
20,128,1,0.3,0.0005,16,0.04095916450023651,0.1679297238588333,30
10,64,2,0.2,0.001,16,0.041317034512758255,0.16599930822849274,15
15,32,1,0.2,0.0005,32,0.04158314689993858,0.15685079991817474,53
15,64,1,0.2,0.0005,16,0.041998203843832016,0.1676473468542099,18
20,64,1,0.1,0.0005,16,0.04225584492087364,0.1719570904970169,12
10,128,2,0.3,0.0005,16,0.04256100580096245,0.1648770272731781,19
10,128,2,0.2,0.001,32,0.04259667545557022,0.1650719940662384,14
20,128,2,0.1,0.0005,32,0.04262474179267883,0.17214888334274292,16
10,64,1,0.1,0.0005,16,0.04294418543577194,0.17366306483745575,27
20,32,1,0.2,0.001,16,0.043097179383039474,0.16311627626419067,30
15,128,2,0.2,0.0005,32,0.04336512088775635,0.17493455111980438,19
20,64,2,0.1,0.001,32,0.04346746206283569,0.1730310171842575,12
15,64,2,0.3,0.0005,32,0.04396320879459381,0.17209956049919128,20
15,128,1,0.2,0.0005,32,0.0459805391728878,0.1772424876689911,24
15,32,1,0.3,0.001,16,0.04627301171422005,0.17700454592704773,17
20,128,1,0.2,0.001,32,0.04645482450723648,0.17330777645111084,37
20,128,1,0.1,0.0005,16,0.04668949544429779,0.17988348007202148,21
15,32,2,0.3,0.001,32,0.047503575682640076,0.1785830408334732,18
20,32,2,0.2,0.001,16,0.047698214650154114,0.17766743898391724,13
10,128,2,0.1,0.0005,16,0.047805264592170715,0.18356303870677948,12
10,64,2,0.3,0.001,32,0.0478542298078537,0.1835070699453354,17
10,32,1,0.2,0.0005,16,0.04821482300758362,0.18005308508872986,51
10,32,1,0.2,0.001,32,0.048581916838884354,0.1848207414150238,25
15,64,2,0.2,0.001,16,0.048871610313653946,0.17355677485466003,15
10,128,2,0.2,0.0005,32,0.04888061434030533,0.17815101146697998,24
10,128,2,0.3,0.001,16,0.04950760677456856,0.18315427005290985,22
15,128,1,0.1,0.0005,32,0.04991171881556511,0.18994182348251343,14
10,64,1,0.1,0.0005,32,0.050232067704200745,0.19187568128108978,17
15,64,1,0.1,0.0005,32,0.050347402691841125,0.17757099866867065,17
20,128,2,0.1,0.0005,16,0.05050000175833702,0.18788351118564606,17
20,128,1,0.3,0.0005,32,0.05129122734069824,0.18297341465950012,23
20,64,1,0.1,0.0005,32,0.05132913962006569,0.1873757392168045,44
10,64,1,0.3,0.0005,32,0.05158801004290581,0.19028142094612122,39
15,64,1,0.3,0.0005,16,0.0526505783200264,0.19445408880710602,21
10,128,2,0.1,0.001,32,0.05279172956943512,0.18989752233028412,14
10,64,2,0.1,0.0005,16,0.053073037415742874,0.19273585081100464,26
10,32,1,0.1,0.001,16,0.053452566266059875,0.18849052488803864,34
20,128,2,0.2,0.0005,16,0.05466242879629135,0.19283844530582428,21
